osu file format v14

[General]
AudioFilename: Oraoraora.mp3
AudioLeadIn: 0
PreviewTime: 74822
Countdown: 0
SampleSet: Normal
StackLeniency: 0.7
Mode: 3
LetterboxInBreaks: 0
SpecialStyle: 0
WidescreenStoryboard: 1

[Editor]
DistanceSpacing: 1.1
BeatDivisor: 4
GridSize: 16
TimelineZoom: 1.3

[Metadata]
Title:Hydria's MDx2v2
TitleUnicode:???? ??????~end of THE WORLD~
Artist:JO*STARS ~TOMMY, Coda, JIN~
ArtistUnicode:JO*STARS ~TOMMY, Coda, JIN~
Creator:Hydria
Version:JO*STARS ~TOMMY, Coda, JIN~ - JoJo Sono Chi no Kikou ~end of THE WORLD~
Source:
Tags:???? ?????? marathon
BeatmapID:749695
BeatmapSetID:338811

[Difficulty]
HPDrainRate:7
CircleSize:4
OverallDifficulty:8
ApproachRate:5
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
0,0,"bg.png",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Sound Samples

[TimingPoints]
13459,272.727272727273,4,1,0,100,1,0
49459,-100,4,1,0,100,0,1
71277,-100,4,1,0,100,0,0
75640,-100,4,1,0,100,0,1
84368,-100,4,1,0,100,0,0


[HitObjects]
64,bpmchange,210,0,1
448,192,18777,1,0,0:0:0:0:
64,192,18845,1,0,0:0:0:0:
192,192,18913,1,0,0:0:0:0:
320,192,18913,1,0,0:0:0:0:
448,192,19049,1,0,0:0:0:0:
64,192,19049,1,0,0:0:0:0:
320,192,19186,1,0,0:0:0:0:
192,192,19322,1,0,0:0:0:0:
64,192,19322,1,0,0:0:0:0:
448,192,19459,1,0,0:0:0:0:
320,192,19459,1,0,0:0:0:0:
192,192,19595,1,0,0:0:0:0:
448,192,19731,1,0,0:0:0:0:
64,192,19731,1,0,0:0:0:0:
192,192,19868,1,0,0:0:0:0:
448,192,20004,1,0,0:0:0:0:
320,192,20004,1,0,0:0:0:0:
64,192,20140,1,0,0:0:0:0:
192,192,20140,1,0,0:0:0:0:
448,192,20277,1,0,0:0:0:0:
320,192,20413,1,0,0:0:0:0:
64,192,20413,1,0,0:0:0:0:
192,192,20549,1,0,0:0:0:0:
448,192,20549,1,0,0:0:0:0:
64,192,20686,1,0,0:0:0:0:
320,192,20822,1,0,0:0:0:0:
448,192,20822,1,0,0:0:0:0:
192,192,20959,1,0,0:0:0:0:
64,192,21095,1,0,0:0:0:0:
448,192,21095,1,0,0:0:0:0:
192,192,21299,1,0,0:0:0:0:
320,192,21299,1,0,0:0:0:0:
64,192,21504,1,0,0:0:0:0:
192,192,21640,1,0,0:0:0:0:
448,192,21640,1,0,0:0:0:0:
320,192,21777,1,0,0:0:0:0:
192,192,21913,1,0,0:0:0:0:
64,192,21913,1,0,0:0:0:0:
448,192,22049,1,0,0:0:0:0:
320,192,22049,1,0,0:0:0:0:
64,192,22186,1,0,0:0:0:0:
192,192,22186,1,0,0:0:0:0:
64,192,22322,1,0,0:0:0:0:
192,192,22322,1,0,0:0:0:0:
320,192,22459,1,0,0:0:0:0:
448,192,22459,1,0,0:0:0:0:
448,192,22595,1,0,0:0:0:0:
320,192,22595,1,0,0:0:0:0:
64,192,22731,1,0,0:0:0:0:
192,192,22731,1,0,0:0:0:0:
192,192,22868,1,0,0:0:0:0:
64,192,22868,1,0,0:0:0:0:
320,192,23004,1,0,0:0:0:0:
448,192,23004,1,0,0:0:0:0:
448,192,23140,1,0,0:0:0:0:
320,192,23140,1,0,0:0:0:0:
64,192,23277,1,0,0:0:0:0:
192,192,23277,1,0,0:0:0:0:
320,192,23413,1,0,0:0:0:0:
448,192,23413,1,0,0:0:0:0:
64,192,23549,1,0,0:0:0:0:
192,192,23686,1,0,0:0:0:0:
448,192,23686,1,0,0:0:0:0:
320,192,23822,1,0,0:0:0:0:
64,192,23822,1,0,0:0:0:0:
192,192,23959,1,0,0:0:0:0:
320,192,24095,1,0,0:0:0:0:
448,192,24095,1,0,0:0:0:0:
64,192,24231,1,0,0:0:0:0:
448,192,24368,1,0,0:0:0:0:
192,192,24368,128,0,24640:0:0:0:0:
320,192,24640,1,0,0:0:0:0:
64,192,24640,128,0,24913:0:0:0:0:
448,192,24913,1,0,0:0:0:0:
320,192,24913,128,0,25186:0:0:0:0:
192,192,25186,1,0,0:0:0:0:
64,192,25322,1,0,0:0:0:0:
192,192,25459,1,0,0:0:0:0:
448,192,25459,1,0,0:0:0:0:
64,192,25595,1,0,0:0:0:0:
320,192,25595,1,0,0:0:0:0:
192,192,25731,1,0,0:0:0:0:
448,192,25868,1,0,0:0:0:0:
320,192,25868,1,0,0:0:0:0:
64,192,26004,1,0,0:0:0:0:
192,192,26004,1,0,0:0:0:0:
448,192,26140,1,0,0:0:0:0:
320,192,26277,1,0,0:0:0:0:
64,192,26277,1,0,0:0:0:0:
192,192,26413,1,0,0:0:0:0:
448,192,26549,1,0,0:0:0:0:
320,192,26549,128,0,26822:0:0:0:0:
192,192,26822,1,0,0:0:0:0:
64,192,26822,128,0,27095:0:0:0:0:
192,192,27095,1,0,0:0:0:0:
448,192,27095,128,0,27368:0:0:0:0:
320,192,27368,1,0,0:0:0:0:
192,192,27368,1,0,0:0:0:0:
64,192,27504,1,0,0:0:0:0:
448,192,27640,1,0,0:0:0:0:
320,192,27709,1,0,0:0:0:0:
192,192,27777,1,0,0:0:0:0:
448,192,27845,1,0,0:0:0:0:
320,192,27913,1,0,0:0:0:0:
64,192,27981,1,0,0:0:0:0:
448,192,28049,1,0,0:0:0:0:
192,192,28118,1,0,0:0:0:0:
64,192,28186,1,0,0:0:0:0:
320,192,28186,1,0,0:0:0:0:
448,192,28322,1,0,0:0:0:0:
320,192,28459,1,0,0:0:0:0:
192,192,28459,1,0,0:0:0:0:
64,192,28595,1,0,0:0:0:0:
320,192,28731,1,0,0:0:0:0:
448,192,28731,1,0,0:0:0:0:
64,192,28868,1,0,0:0:0:0:
192,192,29004,1,0,0:0:0:0:
448,192,29140,1,0,0:0:0:0:
64,192,29277,1,0,0:0:0:0:
320,192,29277,1,0,0:0:0:0:
192,192,29413,1,0,0:0:0:0:
320,192,29549,1,0,0:0:0:0:
448,192,29549,1,0,0:0:0:0:
64,192,29686,1,0,0:0:0:0:
192,192,29686,1,0,0:0:0:0:
320,192,29822,1,0,0:0:0:0:
448,192,29822,1,0,0:0:0:0:
64,192,30095,1,0,0:0:0:0:
192,192,30095,1,0,0:0:0:0:
320,192,30368,1,0,0:0:0:0:
448,192,30368,1,0,0:0:0:0:
64,192,30640,1,0,0:0:0:0:
192,192,30640,1,0,0:0:0:0:
320,192,30913,1,0,0:0:0:0:
448,192,30913,1,0,0:0:0:0:
64,192,31049,1,0,0:0:0:0:
192,192,31118,1,0,0:0:0:0:
320,192,31186,1,0,0:0:0:0:
448,192,31186,1,0,0:0:0:0:
192,192,31322,1,0,0:0:0:0:
64,192,31595,128,0,32004:0:0:0:0:
448,192,31595,128,0,32004:0:0:0:0:
192,192,32004,1,0,0:0:0:0:
320,192,32004,1,0,0:0:0:0:
448,192,32209,128,0,32413:0:0:0:0:
320,192,32413,1,0,0:0:0:0:
64,192,32549,1,0,0:0:0:0:
192,192,32549,1,0,0:0:0:0:
64,192,32822,1,0,0:0:0:0:
192,192,32822,1,0,0:0:0:0:
448,192,33095,1,0,0:0:0:0:
320,192,33095,1,0,0:0:0:0:
192,192,33368,128,0,33913:0:0:0:0:
448,192,33368,1,0,0:0:0:0:
320,192,33640,1,0,0:0:0:0:
64,192,33913,1,0,0:0:0:0:
320,192,34186,1,0,0:0:0:0:
448,192,34186,1,0,0:0:0:0:
64,192,34390,128,0,34595:0:0:0:0:
192,192,34595,1,0,0:0:0:0:
448,192,34731,1,0,0:0:0:0:
320,192,34731,1,0,0:0:0:0:
192,192,34936,1,0,0:0:0:0:
448,192,34936,1,0,0:0:0:0:
64,192,35140,1,0,0:0:0:0:
320,192,35140,1,0,0:0:0:0:
192,192,35277,128,0,35822:0:0:0:0:
448,192,35277,1,0,0:0:0:0:
320,192,35549,1,0,0:0:0:0:
320,192,35822,1,0,0:0:0:0:
448,192,35822,1,0,0:0:0:0:
448,192,35959,1,0,0:0:0:0:
320,192,35959,1,0,0:0:0:0:
64,192,36095,1,0,0:0:0:0:
192,192,36095,1,0,0:0:0:0:
192,192,36231,1,0,0:0:0:0:
64,192,36231,1,0,0:0:0:0:
320,192,36368,1,0,0:0:0:0:
448,192,36368,1,0,0:0:0:0:
192,192,36436,1,0,0:0:0:0:
64,192,36504,1,0,0:0:0:0:
448,192,36572,1,0,0:0:0:0:
320,192,36640,1,0,0:0:0:0:
192,192,36640,1,0,0:0:0:0:
64,192,36709,1,0,0:0:0:0:
448,192,36777,1,0,0:0:0:0:
192,192,36845,1,0,0:0:0:0:
320,192,36913,1,0,0:0:0:0:
64,192,36913,1,0,0:0:0:0:
448,192,36981,1,0,0:0:0:0:
192,192,37049,1,0,0:0:0:0:
320,192,37118,1,0,0:0:0:0:
64,192,37186,1,0,0:0:0:0:
448,192,37186,1,0,0:0:0:0:
192,192,37254,1,0,0:0:0:0:
448,192,37322,1,0,0:0:0:0:
320,192,37390,1,0,0:0:0:0:
192,192,37459,1,0,0:0:0:0:
64,192,37459,1,0,0:0:0:0:
320,192,37595,1,0,0:0:0:0:
448,192,37595,1,0,0:0:0:0:
192,192,37731,1,0,0:0:0:0:
64,192,37731,1,0,0:0:0:0:
320,192,37868,1,0,0:0:0:0:
448,192,37868,1,0,0:0:0:0:
64,192,38004,1,0,0:0:0:0:
192,192,38004,1,0,0:0:0:0:
320,192,38140,1,0,0:0:0:0:
448,192,38140,1,0,0:0:0:0:
64,192,38277,1,0,0:0:0:0:
192,192,38277,1,0,0:0:0:0:
320,192,38413,1,0,0:0:0:0:
448,192,38413,1,0,0:0:0:0:
192,192,38549,1,0,0:0:0:0:
64,192,38549,128,0,39061:0:0:0:0:
448,192,39061,128,0,39640:0:0:0:0:
320,192,39061,1,0,0:0:0:0:
192,192,39640,128,0,40459:0:0:0:0:
64,192,39640,1,0,0:0:0:0:
320,192,39913,1,0,0:0:0:0:
320,192,40049,1,0,0:0:0:0:
64,192,40186,1,0,0:0:0:0:
64,192,40322,1,0,0:0:0:0:
448,192,40459,1,0,0:0:0:0:
320,192,40595,1,0,0:0:0:0:
192,192,40731,1,0,0:0:0:0:
64,192,40731,1,0,0:0:0:0:
448,192,41004,128,0,41277:0:0:0:0:
64,192,41277,1,0,0:0:0:0:
320,192,41277,1,0,0:0:0:0:
192,192,41549,128,0,41822:0:0:0:0:
320,192,41822,1,0,0:0:0:0:
64,192,42095,128,0,42368:0:0:0:0:
192,192,42368,1,0,0:0:0:0:
320,192,42436,1,0,0:0:0:0:
448,192,42504,1,0,0:0:0:0:
64,192,42572,1,0,0:0:0:0:
192,192,42640,1,0,0:0:0:0:
320,192,42709,1,0,0:0:0:0:
448,192,42777,1,0,0:0:0:0:
64,192,42845,1,0,0:0:0:0:
192,192,42913,1,0,0:0:0:0:
320,192,42913,1,0,0:0:0:0:
192,192,43049,1,0,0:0:0:0:
320,192,43049,1,0,0:0:0:0:
192,192,43186,1,0,0:0:0:0:
320,192,43186,1,0,0:0:0:0:
192,192,43322,1,0,0:0:0:0:
320,192,43322,1,0,0:0:0:0:
448,192,43595,1,0,0:0:0:0:
64,192,43595,1,0,0:0:0:0:
192,192,43731,1,0,0:0:0:0:
320,192,43731,1,0,0:0:0:0:
448,192,44004,128,0,45095:0:0:0:0:
64,192,44822,1,0,0:0:0:0:
192,192,45095,1,0,0:0:0:0:
320,192,45095,1,0,0:0:0:0:
64,192,45231,1,0,0:0:0:0:
192,192,45368,1,0,0:0:0:0:
448,192,45368,1,0,0:0:0:0:
320,192,45504,1,0,0:0:0:0:
192,192,45572,1,0,0:0:0:0:
64,192,45640,1,0,0:0:0:0:
448,192,45640,1,0,0:0:0:0:
192,192,45777,1,0,0:0:0:0:
320,192,45913,1,0,0:0:0:0:
448,192,45913,1,0,0:0:0:0:
64,192,46049,1,0,0:0:0:0:
192,192,46049,1,0,0:0:0:0:
320,192,46186,1,0,0:0:0:0:
448,192,46186,1,0,0:0:0:0:
64,192,46322,1,0,0:0:0:0:
192,192,46322,1,0,0:0:0:0:
448,192,46390,1,0,0:0:0:0:
320,192,46459,1,0,0:0:0:0:
192,192,46527,1,0,0:0:0:0:
64,192,46595,1,0,0:0:0:0:
448,192,46663,1,0,0:0:0:0:
320,192,46731,1,0,0:0:0:0:
192,192,46731,1,0,0:0:0:0:
64,192,46868,1,0,0:0:0:0:
192,192,46913,1,0,0:0:0:0:
320,192,46959,1,0,0:0:0:0:
64,192,47004,1,0,0:0:0:0:
192,192,47049,1,0,0:0:0:0:
448,192,47095,1,0,0:0:0:0:
64,192,47140,1,0,0:0:0:0:
192,192,47186,1,0,0:0:0:0:
320,192,47231,1,0,0:0:0:0:
448,192,47277,1,0,0:0:0:0:
64,192,47277,1,0,0:0:0:0:
192,192,47413,1,0,0:0:0:0:
320,192,47549,1,0,0:0:0:0:
448,192,47549,1,0,0:0:0:0:
64,192,47686,1,0,0:0:0:0:
192,192,47686,1,0,0:0:0:0:
64,192,47822,1,0,0:0:0:0:
192,192,47822,1,0,0:0:0:0:
448,192,47959,1,0,0:0:0:0:
320,192,48095,1,0,0:0:0:0:
64,192,48095,1,0,0:0:0:0:
192,192,48231,1,0,0:0:0:0:
320,192,48368,1,0,0:0:0:0:
448,192,48368,1,0,0:0:0:0:
64,192,48436,1,0,0:0:0:0:
192,192,48504,1,0,0:0:0:0:
448,192,48572,1,0,0:0:0:0:
320,192,48640,1,0,0:0:0:0:
192,192,48709,1,0,0:0:0:0:
64,192,48777,1,0,0:0:0:0:
448,192,48845,1,0,0:0:0:0:
320,192,48913,1,0,0:0:0:0:
192,192,48981,1,0,0:0:0:0:
64,192,49049,1,0,0:0:0:0:
448,192,49118,1,0,0:0:0:0:
320,192,49186,1,0,0:0:0:0:
192,192,49186,1,0,0:0:0:0:
64,192,49322,1,0,0:0:0:0:
192,192,49459,1,0,0:0:0:0:
448,192,49459,1,0,0:0:0:0:
320,192,49595,1,0,0:0:0:0:
192,192,49731,1,0,0:0:0:0:
64,192,49731,1,0,0:0:0:0:
448,192,49868,1,0,0:0:0:0:
320,192,49868,1,0,0:0:0:0:
64,192,50004,1,0,0:0:0:0:
192,192,50004,1,0,0:0:0:0:
448,192,50140,1,0,0:0:0:0:
320,192,50277,1,0,0:0:0:0:
64,192,50277,1,0,0:0:0:0:
192,192,50413,1,0,0:0:0:0:
448,192,50413,1,0,0:0:0:0:
64,192,50549,1,0,0:0:0:0:
320,192,50549,1,0,0:0:0:0:
448,192,50686,1,0,0:0:0:0:
320,192,50822,1,0,0:0:0:0:
192,192,50822,1,0,0:0:0:0:
64,192,50959,1,0,0:0:0:0:
448,192,51095,128,0,51368:0:0:0:0:
320,192,51095,1,0,0:0:0:0:
192,192,51231,1,0,0:0:0:0:
64,192,51368,1,0,0:0:0:0:
192,192,51504,128,0,51640:0:0:0:0:
320,192,51640,1,0,0:0:0:0:
448,192,51777,1,0,0:0:0:0:
64,192,51913,1,0,0:0:0:0:
192,192,51913,1,0,0:0:0:0:
192,192,52049,1,0,0:0:0:0:
64,192,52049,1,0,0:0:0:0:
320,192,52186,1,0,0:0:0:0:
448,192,52186,1,0,0:0:0:0:
448,192,52322,1,0,0:0:0:0:
320,192,52322,1,0,0:0:0:0:
64,192,52459,1,0,0:0:0:0:
192,192,52459,1,0,0:0:0:0:
448,192,52595,1,0,0:0:0:0:
64,192,52731,1,0,0:0:0:0:
320,192,52731,128,0,53004:0:0:0:0:
192,192,52868,1,0,0:0:0:0:
448,192,53004,128,0,53277:0:0:0:0:
192,192,53140,1,0,0:0:0:0:
64,192,53277,128,0,53549:0:0:0:0:
320,192,53413,1,0,0:0:0:0:
448,192,53549,1,0,0:0:0:0:
192,192,53686,1,0,0:0:0:0:
320,192,53822,1,0,0:0:0:0:
64,192,53822,1,0,0:0:0:0:
448,192,53959,1,0,0:0:0:0:
192,192,54095,1,0,0:0:0:0:
64,192,54095,1,0,0:0:0:0:
320,192,54231,1,0,0:0:0:0:
64,192,54368,1,0,0:0:0:0:
448,192,54368,1,0,0:0:0:0:
192,192,54504,1,0,0:0:0:0:
320,192,54640,1,0,0:0:0:0:
448,192,54640,1,0,0:0:0:0:
192,192,54777,1,0,0:0:0:0:
64,192,54913,1,0,0:0:0:0:
448,192,54913,1,0,0:0:0:0:
192,192,55186,1,0,0:0:0:0:
320,192,55186,1,0,0:0:0:0:
64,192,55459,128,0,56004:0:0:0:0:
448,192,55459,128,0,56004:0:0:0:0:
320,192,55459,128,0,56004:0:0:0:0:
192,192,56004,128,0,56209:0:0:0:0:
448,192,56209,128,0,56413:0:0:0:0:
320,192,56413,1,0,0:0:0:0:
64,192,56549,128,0,56754:0:0:0:0:
192,192,56754,128,0,56959:0:0:0:0:
320,192,56959,1,0,0:0:0:0:
448,192,57095,128,0,57368:0:0:0:0:
64,192,57095,1,0,0:0:0:0:
192,192,57368,1,0,0:0:0:0:
320,192,57368,1,0,0:0:0:0:
64,192,57504,1,0,0:0:0:0:
320,192,57640,1,0,0:0:0:0:
448,192,57640,1,0,0:0:0:0:
192,192,57777,1,0,0:0:0:0:
64,192,57913,1,0,0:0:0:0:
448,192,57913,1,0,0:0:0:0:
192,192,58049,1,0,0:0:0:0:
320,192,58186,128,0,59959:0:0:0:0:
448,192,58322,1,0,0:0:0:0:
64,192,58459,1,0,0:0:0:0:
192,192,58595,1,0,0:0:0:0:
448,192,58731,1,0,0:0:0:0:
64,192,58868,1,0,0:0:0:0:
448,192,59004,1,0,0:0:0:0:
192,192,59140,1,0,0:0:0:0:
64,192,59277,1,0,0:0:0:0:
448,192,59277,1,0,0:0:0:0:
192,192,59413,1,0,0:0:0:0:
448,192,59481,1,0,0:0:0:0:
64,192,59549,1,0,0:0:0:0:
192,192,59686,1,0,0:0:0:0:
64,192,59822,1,0,0:0:0:0:
448,192,59959,1,0,0:0:0:0:
64,192,60095,1,0,0:0:0:0:
192,192,60095,1,0,0:0:0:0:
448,192,60163,1,0,0:0:0:0:
320,192,60231,1,0,0:0:0:0:
64,192,60231,1,0,0:0:0:0:
192,192,60299,1,0,0:0:0:0:
320,192,60368,1,0,0:0:0:0:
448,192,60368,128,0,60777:0:0:0:0:
64,192,60777,1,0,0:0:0:0:
320,192,60913,1,0,0:0:0:0:
192,192,60913,1,0,0:0:0:0:
448,192,61049,1,0,0:0:0:0:
320,192,61186,1,0,0:0:0:0:
64,192,61186,1,0,0:0:0:0:
192,192,61459,1,0,0:0:0:0:
448,192,61459,1,0,0:0:0:0:
320,192,61595,1,0,0:0:0:0:
192,192,61731,1,0,0:0:0:0:
64,192,61731,1,0,0:0:0:0:
448,192,61868,1,0,0:0:0:0:
64,192,62004,1,0,0:0:0:0:
320,192,62004,128,0,62277:0:0:0:0:
448,192,62140,1,0,0:0:0:0:
64,192,62277,128,0,62549:0:0:0:0:
192,192,62277,1,0,0:0:0:0:
320,192,62549,128,0,62959:0:0:0:0:
448,192,62549,1,0,0:0:0:0:
64,192,62959,128,0,63231:0:0:0:0:
192,192,63231,1,0,0:0:0:0:
448,192,63368,1,0,0:0:0:0:
320,192,63368,1,0,0:0:0:0:
64,192,63504,1,0,0:0:0:0:
448,192,63640,1,0,0:0:0:0:
192,192,63640,1,0,0:0:0:0:
320,192,63777,1,0,0:0:0:0:
192,192,63913,1,0,0:0:0:0:
64,192,63913,1,0,0:0:0:0:
448,192,64049,1,0,0:0:0:0:
320,192,64186,1,0,0:0:0:0:
64,192,64186,1,0,0:0:0:0:
192,192,64322,1,0,0:0:0:0:
64,192,64459,1,0,0:0:0:0:
320,192,64459,1,0,0:0:0:0:
448,192,64459,1,0,0:0:0:0:
192,192,64595,1,0,0:0:0:0:
320,192,64731,1,0,0:0:0:0:
448,192,64731,1,0,0:0:0:0:
64,192,64868,1,0,0:0:0:0:
192,192,65004,1,0,0:0:0:0:
448,192,65004,1,0,0:0:0:0:
320,192,65140,1,0,0:0:0:0:
192,192,65209,1,0,0:0:0:0:
64,192,65277,1,0,0:0:0:0:
448,192,65345,1,0,0:0:0:0:
320,192,65413,1,0,0:0:0:0:
64,192,65481,1,0,0:0:0:0:
192,192,65549,1,0,0:0:0:0:
320,192,65618,1,0,0:0:0:0:
448,192,65686,1,0,0:0:0:0:
64,192,65754,1,0,0:0:0:0:
192,192,65822,1,0,0:0:0:0:
320,192,65822,1,0,0:0:0:0:
448,192,65959,1,0,0:0:0:0:
320,192,66095,1,0,0:0:0:0:
64,192,66095,1,0,0:0:0:0:
192,192,66231,1,0,0:0:0:0:
320,192,66368,1,0,0:0:0:0:
448,192,66368,1,0,0:0:0:0:
64,192,66504,1,0,0:0:0:0:
192,192,66640,1,0,0:0:0:0:
448,192,66640,1,0,0:0:0:0:
320,192,66777,1,0,0:0:0:0:
64,192,66777,1,0,0:0:0:0:
192,192,66845,1,0,0:0:0:0:
320,192,66913,1,0,0:0:0:0:
448,192,66981,1,0,0:0:0:0:
64,192,67049,1,0,0:0:0:0:
320,192,67118,1,0,0:0:0:0:
448,192,67186,1,0,0:0:0:0:
192,192,67254,1,0,0:0:0:0:
320,192,67322,1,0,0:0:0:0:
448,192,67390,1,0,0:0:0:0:
192,192,67459,1,0,0:0:0:0:
64,192,67527,1,0,0:0:0:0:
448,192,67595,1,0,0:0:0:0:
320,192,67663,1,0,0:0:0:0:
192,192,67731,1,0,0:0:0:0:
64,192,67799,1,0,0:0:0:0:
448,192,67868,1,0,0:0:0:0:
320,192,67936,1,0,0:0:0:0:
64,192,68004,1,0,0:0:0:0:
192,192,68004,1,0,0:0:0:0:
448,192,68140,1,0,0:0:0:0:
320,192,68209,1,0,0:0:0:0:
64,192,68277,1,0,0:0:0:0:
192,192,68277,1,0,0:0:0:0:
320,192,68413,1,0,0:0:0:0:
64,192,68549,1,0,0:0:0:0:
448,192,68549,1,0,0:0:0:0:
192,192,68686,1,0,0:0:0:0:
320,192,68754,1,0,0:0:0:0:
448,192,68822,1,0,0:0:0:0:
64,192,68822,1,0,0:0:0:0:
192,192,68959,1,0,0:0:0:0:
64,192,69095,128,0,69368:0:0:0:0:
320,192,69095,128,0,69368:0:0:0:0:
192,192,69368,128,0,69504:0:0:0:0:
448,192,69504,128,0,71140:0:0:0:0:
320,192,69640,1,0,0:0:0:0:
192,192,69777,1,0,0:0:0:0:
64,192,69913,1,0,0:0:0:0:
320,192,70049,1,0,0:0:0:0:
192,192,70186,1,0,0:0:0:0:
64,192,70186,1,0,0:0:0:0:
192,192,70595,1,0,0:0:0:0:
320,192,70595,1,0,0:0:0:0:
64,192,71004,1,0,0:0:0:0:
320,192,71004,1,0,0:0:0:0:
64,192,71277,1,0,0:0:0:0:
192,192,71277,1,0,0:0:0:0:
320,192,71277,1,0,0:0:0:0:
64,192,71413,1,0,0:0:0:0:
192,192,71413,1,0,0:0:0:0:
320,192,71413,1,0,0:0:0:0:
64,192,71549,1,0,0:0:0:0:
192,192,71549,1,0,0:0:0:0:
320,192,71549,1,0,0:0:0:0:
192,192,72095,128,0,73459:0:0:0:0:
448,192,73049,1,0,0:0:0:0:
320,192,73118,1,0,0:0:0:0:
64,192,73186,1,0,0:0:0:0:
320,192,73322,1,0,0:0:0:0:
64,192,73459,1,0,0:0:0:0:
448,192,73459,128,0,74004:0:0:0:0:
320,192,73868,1,0,0:0:0:0:
192,192,73936,1,0,0:0:0:0:
64,192,74004,128,0,74549:0:0:0:0:
320,192,74277,1,0,0:0:0:0:
448,192,74413,1,0,0:0:0:0:
192,192,74549,128,0,74686:0:0:0:0:
448,192,74686,1,0,0:0:0:0:
320,192,74754,1,0,0:0:0:0:
64,192,74822,128,0,75640:0:0:0:0:
192,192,74959,1,0,0:0:0:0:
448,192,75095,1,0,0:0:0:0:
320,192,75163,1,0,0:0:0:0:
192,192,75231,1,0,0:0:0:0:
